DestinoNombre,DestinoClasificacion,Region,Fuente
Francia,SECUNDARIO,Europa,excel_original
Fredericton Area,TERCIARIO,,supply_w25
Fresno Area US,SECUNDARIO,TOP USA,excel_original
Fráncfort,TERCIARIO,,supply_w25
Gainesville,SECUNDARIO,TOP USA,excel_original
Girardot Area,TERCIARIO,Colombia,excel_original
Grand Rapids US,SECUNDARIO,TOP USA,excel_original
Great Sacandaga Lake US,SECUNDARIO,TOP USA,excel_original
Greater Glasgow Area,TERCIARIO,,supply_w25
Greensboro US,SECUNDARIO,TOP USA,excel_original
Greenville - Spartanburg US,SECUNDARIO,TOP USA,excel_original
Griffin US,SECUNDARIO,TOP USA,excel_original
Guadalajara,SECUNDARIO,Mexico,excel_original
Guanajuato,SECUNDARIO,Mexico,excel_original
Guanajuato alrededores,SECUNDARIO,Mexico,excel_original
Guatapé Area,TERCIARIO,Colombia,excel_original
Guatemala,TERCIARIO,LATAM,excel_original
Guaymas,SECUNDARIO,Mexico,excel_original
Guyana,TERCIARIO,LATAM,excel_original
Halifax Area,TERCIARIO,,supply_w25
Hamburg Area,TERCIARIO,,supply_w25
Harrisburg - Hershey Area,TERCIARIO,,supply_w25
Hawái,SECUNDARIO,TOP USA,excel_original
Hermosillo,SECUNDARIO,Mexico,excel_original
Hidalgo,SECUNDARIO,Mexico,excel_original
Holbox,SECUNDARIO,Mexico,excel_original
Holland Area,TERCIARIO,,supply_w25
Honda Area,TERCIARIO,Colombia,excel_original
Honduras,TERCIARIO,LATAM,excel_original
Honolulu,SECUNDARIO,TOP USA,excel_original
Houston,SECUNDARIO,TOP USA,excel_original
Huatulco,PRIMARIO,Mexico,excel_original
Huntsville US,SECUNDARIO,TOP USA,excel_original
Ibague Area,SECUNDARIO,Colombia,excel_original
Indianápolis US,SECUNDARIO,TOP USA,excel_original
Irapuato,SECUNDARIO,Mexico,excel_original
Isla Barú,TERCIARIO,Colombia,excel_original
Isla Mujeres,SECUNDARIO,Mexico,excel_original
Isla de Rosario,TERCIARIO,Colombia,excel_original
Islas del Caribe,TERCIARIO,Caribe,excel_original
Ixtapa - Zihuatanejo,PRIMARIO,Mexico,excel_original
Ixtapa / Zihuatanejo,TERCIARIO,,supply_w25
Jackson Hole US,SECUNDARIO,TOP USA,excel_original
Jacksonville US,SECUNDARIO,TOP USA,excel_original
Jakarta Area,TERCIARIO,,supply_w25
Jamaica,PRIMARIO,Caribe,excel_original
Jasper National Park Area,TERCIARIO,,supply_w25
"Kansas City, MO US",SECUNDARIO,TOP USA,excel_original
Katy Area US,SECUNDARIO,TOP USA,excel_original
Key Largo US,SECUNDARIO,TOP USA,excel_original
Key West US,SECUNDARIO,TOP USA,excel_original
Kingston Area,TERCIARIO,,supply_w25
Kioto Area,TERCIARIO,,supply_w25
Kitchener Area,TERCIARIO,,supply_w25
Knoxville US,SECUNDARIO,TOP USA,excel_original
Kokomo US,SECUNDARIO,TOP USA,excel_original
La Habana,SECUNDARIO,Caribe,excel_original
La Paz,SECUNDARIO,Mexico,excel_original
La Vega Area,TERCIARIO,Colombia,excel_original
Lake Constance Area,TERCIARIO,,supply_w25
Lake Placid,SECUNDARIO,TOP USA,excel_original
Lake Tahoe US,SECUNDARIO,TOP USA,excel_original
Lakeland - Winter Haven US,SECUNDARIO,TOP USA,excel_original
Lancaster US,SECUNDARIO,TOP USA,excel_original
Lansing US,SECUNDARIO,TOP USA,excel_original
Laredo US,SECUNDARIO,TOP USA,excel_original
Las Vegas,PRIMARIO,TOP USA,excel_original
Laughlin Area,TERCIARIO,,supply_w25
Leesburg US,SECUNDARIO,TOP USA,excel_original
Lexington Area,TERCIARIO,,supply_w25
León,SECUNDARIO,Mexico,excel_original
Lincoln Area,TERCIARIO,,supply_w25
Liverpool,TERCIARIO,,supply_w25
Londres,PRIMARIO,,supply_w25
Long Island US,SECUNDARIO,TOP USA,excel_original
Loreto,SECUNDARIO,Mexico,excel_original
Los Angeles,PRIMARIO,TOP USA,excel_original
Los Cabos,PRIMARIO,Mexico,excel_original
Los Mochis,SECUNDARIO,Mexico,excel_original
Louisville US,SECUNDARIO,TOP USA,excel_original
Lubbock Area US,SECUNDARIO,TOP USA,excel_original
Ludington US,SECUNDARIO,TOP USA,excel_original
Madagascar,SECUNDARIO,ROW,excel_original
Madison Area,TERCIARIO,,supply_w25
Madrid,SECUNDARIO,,supply_w25
Manchester Area,TERCIARIO,,supply_w25
Manzanillo,PRIMARIO,Mexico,excel_original
Marin County,SECUNDARIO,TOP USA,excel_original
Mazatlán,PRIMARIO,Mexico,excel_original
McAllen US,SECUNDARIO,TOP USA,excel_original
McComb US,SECUNDARIO,TOP USA,excel_original
Medellin Area,SECUNDARIO,Colombia,excel_original
Medio Oriente,SECUNDARIO,ROW,excel_original
Melbourne Area,TERCIARIO,,supply_w25
Melgar,TERCIARIO,Colombia,excel_original
Memphis Area,TERCIARIO,,supply_w25
Merida,TERCIARIO,,supply_w25
Mexico City - Central Mexico,PRIMARIO,Mexico,excel_original
Miami,PRIMARIO,TOP USA,excel_original
Michoacán,SECUNDARIO,Mexico,excel_original
Midland US,SECUNDARIO,TOP USA,excel_original
Milwaukee Area,TERCIARIO,,supply_w25
Minca,TERCIARIO,Colombia,excel_original
Minneapolis - St. Paul US,SECUNDARIO,TOP USA,excel_original
Modesto Area,SECUNDARIO,TOP USA,excel_original
Mompox,TERCIARIO,Colombia,excel_original
Monclova,SECUNDARIO,Mexico,excel_original
Montego Bay,SECUNDARIO,Caribe,excel_original
Monterey Area,SECUNDARIO,Mexico,excel_original
Monteria Area,SECUNDARIO,Colombia,excel_original
Monterrey,SECUNDARIO,Mexico,excel_original
Montgomery US,SECUNDARIO,TOP USA,excel_original
Monticello US,SECUNDARIO,TOP USA,excel_original
Montreal,SECUNDARIO,,supply_w25
Morelia,SECUNDARIO,Mexico,excel_original
Morelos,SECUNDARIO,Mexico,excel_original
Mount Laurel US,SECUNDARIO,TOP USA,excel_original
Munich Area,TERCIARIO,,supply_w25
Mystic - New London US,SECUNDARIO,TOP USA,excel_original
Mérida,SECUNDARIO,Mexico,excel_original
Múnich Area,TERCIARIO,,supply_w25
NULL,SECUNDARIO,ROW,excel_original
Naples US,SECUNDARIO,TOP USA,excel_original
Nashville TN US,SECUNDARIO,TOP USA,excel_original
Nayarit,SECUNDARIO,Mexico,excel_original
Neiva Area,TERCIARIO,Colombia,excel_original
New Orleans US,SECUNDARIO,TOP USA,excel_original
New York,PRIMARIO,,supply_w25
Newburgh US,SECUNDARIO,TOP USA,excel_original
Newport Beach US,SECUNDARIO,TOP USA,excel_original
"Niagara Falls, Canada",TERCIARIO,,supply_w25
Nicaragua,TERCIARIO,LATAM,excel_original
Nogales,SECUNDARIO,Mexico,excel_original
Northern Chesapeake Bay US,SECUNDARIO,TOP USA,excel_original
Northern Mexico,SECUNDARIO,Mexico,excel_original
Northern Virginia Area,TERCIARIO,,supply_w25
Nueva York,PRIMARIO,TOP USA,excel_original
Nuevo Leon,SECUNDARIO,Mexico,excel_original
Nyack US,SECUNDARIO,TOP USA,excel_original
Oakland US,SECUNDARIO,TOP USA,excel_original
Oaxaca,SECUNDARIO,Mexico,excel_original
Oceanía,SECUNDARIO,ROW,excel_original
Okanagan Valley Area,TERCIARIO,,supply_w25
Oklahoma City US,SECUNDARIO,TOP USA,excel_original
Omaha Area,TERCIARIO,,supply_w25
"Ontario, CA, US",SECUNDARIO,TOP USA,excel_original
Orange County US,SECUNDARIO,TOP USA,excel_original
Orlando,PRIMARIO,TOP USA,excel_original
Osaka Area,SECUNDARIO,,supply_w25
Otago Area,TERCIARIO,,supply_w25
Ottawa Area,SECUNDARIO,,supply_w25
Pachuca,SECUNDARIO,Mexico,excel_original
Pacifico Area,TERCIARIO,Colombia,excel_original
Page Area,SECUNDARIO,,supply_w25
Palaos,SECUNDARIO,ROW,excel_original
Palm Springs US,SECUNDARIO,TOP USA,excel_original
Palmira Area,TERCIARIO,Colombia,excel_original
Palomino Area,TERCIARIO,Colombia,excel_original
Panama City Area,TERCIARIO,,supply_w25
Panamá,SECUNDARIO,LATAM,excel_original
Paraguay,TERCIARIO,LATAM,excel_original
Paris,TERCIARIO,,supply_w25
Paso Robles,SECUNDARIO,TOP USA,excel_original
Pasto Area,TERCIARIO,Colombia,excel_original
Pensacola US,SECUNDARIO,TOP USA,excel_original
Perú,SECUNDARIO,LATAM,excel_original
Philadelphia US,SECUNDARIO,TOP USA,excel_original
Phoenix US,SECUNDARIO,TOP USA,excel_original
Phu Quoc Island Area,TERCIARIO,,supply_w25
Piedras Negras,SECUNDARIO,Mexico,excel_original
"Pittsburgh Area, Pennsylvania",TERCIARIO,,supply_w25
Pittsburgh US,SECUNDARIO,TOP USA,excel_original
Playa Mujeres,SECUNDARIO,Mexico,excel_original
Playa del Carmen,PRIMARIO,Mexico,excel_original
Pleasanton - Livermore US,SECUNDARIO,TOP USA,excel_original
Popayan Area,TERCIARIO,Colombia,excel_original
Port Richey US,SECUNDARIO,TOP USA,excel_original
"Portland (and vicinity), ME, US",TERCIARIO,,supply_w25
"Portland (and vicinity), OR, US",TERCIARIO,,supply_w25
Poughkeepsie Area,TERCIARIO,,supply_w25
Providence Area,TERCIARIO,,supply_w25
Puebla,SECUNDARIO,Mexico,excel_original
Puebla alrededores,SECUNDARIO,Mexico,excel_original
Puerto Escondido,SECUNDARIO,Mexico,excel_original
Puerto Morelos,SECUNDARIO,Mexico,excel_original
Puerto Príncipe,TERCIARIO,Caribe,excel_original
Puerto Rico,SECUNDARIO,Caribe,excel_original
Puerto Vallarta,PRIMARIO,Mexico,excel_original
Punta Cana,PRIMARIO,Caribe,excel_original
Purcell US,SECUNDARIO,TOP USA,excel_original
Quebec,SECUNDARIO,Canada,excel_original
Queretaro,SECUNDARIO,Mexico,excel_original
Queretaro alrededores,SECUNDARIO,Mexico,excel_original
Raleigh US,SECUNDARIO,TOP USA,excel_original
Red Bank - Tinton Falls US,SECUNDARIO,TOP USA,excel_original
Reno US,SECUNDARIO,TOP USA,excel_original
República Dominicana otras ciudades,PRIMARIO,Caribe,excel_original
Richmond Area,TERCIARIO,,supply_w25
Riohacha Area,SECUNDARIO,Colombia,excel_original
Riverside US,SECUNDARIO,TOP USA,excel_original
Riviera Maya,PRIMARIO,Mexico,excel_original
Riviera Maya Sur,PRIMARIO,Mexico,excel_original
Riviera Nayarit,PRIMARIO,Mexico,excel_original
Rochester,SECUNDARIO,TOP USA,excel_original
Sacramento,SECUNDARIO,TOP USA,excel_original
Salamanca,SECUNDARIO,Mexico,excel_original
Salt Lake City,SECUNDARIO,TOP USA,excel_original
Saltillo,SECUNDARIO,Mexico,excel_original
Samaná,TERCIARIO,,supply_w25
San Andres Area,PRIMARIO,Colombia,excel_original
San Antonio,PRIMARIO,TOP USA,excel_original
San Bernardino US,SECUNDARIO,TOP USA,excel_original
San Diego US,SECUNDARIO,TOP USA,excel_original
San Francisco,PRIMARIO,TOP USA,excel_original
San Jose - Silicon Valley US,SECUNDARIO,TOP USA,excel_original
San Jose Area US,SECUNDARIO,TOP USA,excel_original
San José del Guaviare Area,TERCIARIO,Colombia,excel_original
San Luis Obispo,SECUNDARIO,TOP USA,excel_original
San Luis Potosi,SECUNDARIO,Mexico,excel_original
San Luis Potosí alrededores,SECUNDARIO,Mexico,excel_original
"San Luis, Misuri Area",TERCIARIO,,supply_w25
San Miguel de Allende,SECUNDARIO,Mexico,excel_original
Santa Marta Area,PRIMARIO,Colombia,excel_original
Santa Monica,SECUNDARIO,TOP USA,excel_original
Santa Rosa,SECUNDARIO,TOP USA,excel_original
Santa Verónica Area,SECUNDARIO,No lo clasificó Supply,excel_original
Santander Area,TERCIARIO,Colombia,excel_original
Santiago de Cali Area,SECUNDARIO,Colombia,excel_original
Santo Domingo,PRIMARIO,Caribe,excel_original
Sarasota,SECUNDARIO,TOP USA,excel_original
Saskatoon Area,TERCIARIO,,supply_w25
Sault Ste. Marie Area,TERCIARIO,,supply_w25
Sayulita,SECUNDARIO,Mexico,excel_original
Seattle US,SECUNDARIO,TOP USA,excel_original
Shanghai,TERCIARIO,,supply_w25
Sheridan Area,TERCIARIO,,supply_w25
Silao,SECUNDARIO,Mexico,excel_original
Somerset Area,TERCIARIO,,supply_w25
South Padre Island US,SECUNDARIO,TOP USA,excel_original
Space Coast US,SECUNDARIO,TOP USA,excel_original
Springfield Area,TERCIARIO,,supply_w25
St. Augustine US,SECUNDARIO,TOP USA,excel_original
St. Lawrence Seaway US,SECUNDARIO,TOP USA,excel_original
St. Louis Area,TERCIARIO,,supply_w25
Stockton,SECUNDARIO,TOP USA,excel_original
Sucre Colombia Area,TERCIARIO,Colombia,excel_original
Surinam,SECUNDARIO,ROW,excel_original
Sydney Area,TERCIARIO,,supply_w25
Syracuse,SECUNDARIO,TOP USA,excel_original
Tallahassee,SECUNDARIO,TOP USA,excel_original
Tamaulipas,SECUNDARIO,Mexico,excel_original
Tampa US,SECUNDARIO,TOP USA,excel_original
Taxco,SECUNDARIO,Mexico,excel_original
Tayrona Area,TERCIARIO,Colombia,excel_original
Temecula,SECUNDARIO,TOP USA,excel_original
Tepic,SECUNDARIO,Mexico,excel_original
Tijuana,SECUNDARIO,Mexico,excel_original
Tlaxcala,SECUNDARIO,Mexico,excel_original
Tokyo,SECUNDARIO,,supply_w25
Tolú Area,TERCIARIO,Colombia,excel_original
Toronto,SECUNDARIO,Canada,excel_original
Torreón,SECUNDARIO,Mexico,excel_original
Trinidad y Tobago,TERCIARIO,Caribe,excel_original
Trois-Rivieres Area,TERCIARIO,,supply_w25
Tucson US,SECUNDARIO,TOP USA,excel_original
Tullahoma US,SECUNDARIO,TOP USA,excel_original
Tulsa US,SECUNDARIO,TOP USA,excel_original
Tulum,SECUNDARIO,Mexico,excel_original
Tumaco Area,TERCIARIO,Colombia,excel_original
Uruguay,TERCIARIO,LATAM,excel_original
Vail - Beaver Creek,SECUNDARIO,TOP USA,excel_original
Valledupar Area,SECUNDARIO,Colombia,excel_original
Vancouver,SECUNDARIO,Canada,excel_original
Vanuatu,SECUNDARIO,ROW,excel_original
Varadero,SECUNDARIO,Caribe,excel_original
Venezuela,TERCIARIO,LATAM,excel_original
Ventura Area,TERCIARIO,,supply_w25
Veracruz,SECUNDARIO,Mexico,excel_original
Veracruz alrededores,SECUNDARIO,Mexico,excel_original
Vero Beach,SECUNDARIO,TOP USA,excel_original
Victorville,SECUNDARIO,TOP USA,excel_original
Vienna Area,TERCIARIO,,supply_w25
Villa de Leyva,TERCIARIO,Colombia,excel_original
Villahermosa,SECUNDARIO,Mexico,excel_original
Villavicencio Area,SECUNDARIO,Colombia,excel_original
Villeta Area,TERCIARIO,Colombia,excel_original
Vineland,SECUNDARIO,TOP USA,excel_original
Visalia US,SECUNDARIO,TOP USA,excel_original
Washington US,SECUNDARIO,TOP USA,excel_original
"Washington, DC Area",SECUNDARIO,,supply_w25
West Palm Beach US,SECUNDARIO,TOP USA,excel_original
White Plains Area,TERCIARIO,,supply_w25
Winston - Salem US,SECUNDARIO,TOP USA,excel_original
Yopal Area,TERCIARIO,Colombia,excel_original
Zacatecas,SECUNDARIO,Mexico,excel_original
